,OS,Remission,pCR,pRelapse
LGALS3,0.47709337762508586,0.30791072247340107,0.4856049832989545,0.3271497446572016
LSD1,0.399020129597006,0.36530406360186435,0.35379207883422314,0.23657068858194788
LYN,0.3246143341361083,0.39789855055863094,0.34832955124902776,0.32714974465720165
MAP2K1,0.37241878762387237,0.23278050618989118,0.38225465157643645,0.28604834062255746
MAP2K1_2.pS217_221,0.40213668893626203,0.23481311306330657,0.35247539936919237,0.35767100363396703
MAPK1,0.5065969878259788,0.33799909843409875,0.43016947456496873,0.3065751459719717
MAPK1_3.pT202Y204,0.5297833690732318,0.32060674976405773,0.5456454539396841,0.3053397616800549
MAPK14,0.36497041187139473,0.38644563587631964,0.5056278460005773,0.4041328232463386
MAPK14.pT180Y182,0.3192161036776047,0.3653040636018643,0.3625850541965525,0.3128317816040527
MAPK9,0.40213668893626203,0.33926640186672763,2.0,0.29904797283707857
MAPT,0.2815486034436474,0.3328833279571986,0.31330712520669185,0.3053397616800549
MCL1,0.3605710845632492,0.3666737450474677,0.2641647521962199,0.25339374309928264
MDM2,0.48276509506798243,0.32060674976405784,0.35083802268323017,2.0
MDM4,0.5212883004729323,0.38013669441160614,0.26098052911844394,0.20524893191041899
MET.pY1230_1234_1235,0.4892465137524968,0.37567069647098084,0.824622361248985,0.24028060612294833
MSI2,0.33936662022225367,0.4768050321659087,2.0,0.35734432358523033
MTOR,0.4121311976029248,0.336741194431348,0.37472540895437245,0.3091565087010556
MTOR.pS2448,0.2861368029071736,0.4312546260508709,0.4177934780865627,0.25127798248674443
MYC,0.35040921726263285,0.21464294746959015,2.0,0.3589010730079093
NCL,0.22162718055330854,0.3044772839715178,0.3806018781656326,0.354684559641783
NF2,0.2969139109564939,0.25984851442528467,0.5157944173908178,0.29914045534136235
NF2.pS518,0.6765616460597191,0.3029733785270346,2.0,0.3363296186038301
NOTCH1.cl1744,0.32320630497357494,0.26730516013960404,0.3071359370964256,0.395810802177849
NOTCH3,0.6957611757032506,0.36656038389690593,0.39963197207391415,0.2512779824867444
NPM1,0.40237987908821293,0.2783269056014203,0.3145791033817983,0.3040153368358141
NPM1.3542,0.3421230249704457,0.3536827001899706,2.0,0.311474859789007
NR4A1,0.3787167231587933,0.31556338503562387,0.49306778911816246,0.25767885843724303
NRP1,0.40075843720507204,0.4382824792161442,0.30713593709642556,0.37848783453329826
ODC1,0.3107828833856783,0.3505175835612876,0.29124163929633246,0.2944347701914815
PA2G4,0.2791977583186048,0.3475908684489474,0.4404580347382806,0.2443439665600227
PA2G4.pS65,2.0,0.4450180300215148,0.37125716686056126,0.5169357018632439
PA2G4.pT37_46,0.2860483406225576,0.3326821400963861,0.3223930318376859,2.0
PA2G4.pT70,0.3180236965847859,0.34115664744728663,0.3280477946854641,0.20353516581426295
PARK7,0.5320913390045158,0.27056280135910504,0.41275742530659376,0.28041406684903014
PARP1,0.26622433078337604,0.2851561200826167,0.34963558797524724,0.30648036495274017
PARP1.cl214,0.32714974465720187,0.4158526751204827,0.35677100813800733,0.37369957622647787
PDK1,0.37091807784263237,0.2794529976809644,0.34413557965197505,0.31283178160405267
PDK1.pS241,0.43598283893089057,0.41213119760292477,0.4369154213636089,0.22615018423806996
PIK3CA,0.4021366889362623,0.3258314523528052,2.0,0.30269665674344703
PIK3R1_2,0.5820843133177722,0.27711965022606083,0.34703320123264453,0.25872140989638087
PIM1,0.44735912923132454,0.2737792697316199,0.4333952965719235,0.45977628101712636
