,OS,Remission,pCR,pRelapse
MAPK9,0.605165749776,0.5812011860848705,0.5653377196199242,0.8371210499164798
MAPT,0.680811468498,0.5606173217706155,0.5679166969576306,0.7938000000000001
MCL1,0.6461696273290546,0.5253598392269411,2.0,1.1117830499999999
MDM2,0.7654500000000001,0.5274854100645344,0.6628346136293543,2.0
MDM4,0.6301184400000001,0.6593567625806681,0.81523459429625,0.6076142100000002
MET.pY1230_1234_1235,0.5786802000000001,0.6030916521737844,0.6207732288386015,0.8619184862317004
MSI2,0.5812011860848704,0.6867562191690044,0.41392662280374903,0.8894264399999999
MTOR,0.6202062434621217,0.6006614161828026,0.5678005799777077,0.6354240372648
MTOR.pS2448,0.4593563427600001,0.5169357018632439,1.0442904393492947,0.8969154106248
MYC,0.45935634276000004,0.6951353308570327,0.5170955675456906,1.140103817766799
NCL,0.7503729859171349,0.5274854100645345,0.6465693533345321,0.8512775172658766
NF2,0.5671065960000002,0.5382504184331987,0.6084821753117469,0.80722386956232
NF2.pS518,0.6301184400000001,0.5606173217706156,0.6287272720292656,0.933897762
NOTCH1.cl1744,0.6728130230414983,0.46915947042563916,0.6068514409430293,0.8334900000000001
NOTCH3,0.67240638864,0.5191877016917673,0.676361850642198,0.9882515999999999
NPM1,0.878977102412304,0.5768752241019636,0.6261937339849403,0.878977102412304
NPM1.3542,0.6301184400000001,0.6921201503340934,2.0,0.8334900000000001
NR4A1,0.6301184400000001,0.5886481878591464,0.5170955675456906,0.80722386956232
NRP1,0.4803805721721888,0.7752578043276521,0.523721176200971,1.2515123196456444
ODC1,0.4803805721721888,0.5494049753352033,0.44345251115859236,0.9729930570617252
PA2G4,0.45016921590480025,0.47473686905808127,0.5860416432184494,0.6616243620000001
PA2G4.pS65,2.0,0.6564967731945003,1.4006781283819216,1.0006047450000002
PA2G4.pT37_46,0.500188017672,0.5720584916026689,0.6601636356307289,0.83712104991648
PA2G4.pT70,0.5023670572043186,0.5253598392269412,0.7188448476867938,0.8004837960000001
PARK7,0.6457790956498559,0.6153996450752903,0.8379919559065008,0.7351381799999999
PARP1,0.607802118592879,0.622908135300684,0.6541872980439452,0.9805926501
